Cód.Original;Baia;;Nível;Cód.Barras
3272E005E; 016;AA;2;789582502127 8
3272E005P; 016;AA;2;789006339744 4
70327SC; 017;AA;2;130020050105 5
70490373E; 017;AA;2;789582507873 9
70368NAK; 017;AA;2;730020051197 3
50983067; 018;AA;2;720020050767 2
36817181; 018;AA;2;100020051085 8
36817181RE; 018;AA;2;789582508607 9
70355NA; 018;AA;2;789000236093 5
3685R005E; 019;AA;2;789582502562 7
70353NA;01B;AA;2;789000239965 2
70345NA;01C;AA;2;789000240834 7
50926016; 020;AA;2;720020050112 0
28316B; 020;AA;2;230020050230 3
70490319; 020;AA;2;100020054018 3
2314J607E; 021;AA;2;789582501793 6
70720009; 022;AA;2;100040051405 2
70740375E; 023;AA;2;789582504643 1
ERR3457AE; 024;AA;2;789582506306 3
70740142E; 025;AA;2;789582504592 2
70490329; 026;AA;2;100020054025 1
70490346E; 027;AA;2;789582507844 9
70992801E; 028;AA;2;789582505763 5
70100536; 029;AA;2;100070052010 4
70100657E; 030;AA;2;789582503185 7
32712726E; 031;AA;2;789582502117 9
2116A056; 032;AA;2;100630054186 0
70490372RE; 033;AA;2;789582508775 5
70490372; 033;AA;2;100020054101 2
70457 NA; 033;AA;2;789854400112 5
50913098; 033;AA;2;720020050731 3
70457AN; 033;AA;2;130020050122 2
70490313RE; 034;AA;2;789582508777 9
70033AN; 034;AA;2;130020050121 5
70490313; 034;AA;2;100020054012 1
50927098; 035;AA;2;720020050732 0
70030AN 080; 035;AA;2;130020050087 4
70490083; 035;AA;2;100020051174 9
70721SC; 036;AA;2;130020050098 0
70490396E; 036;AA;2;789582507894 4
2314M033; 037;AA;2;100040057759 0
7008090R1E; 038;AA;2;789000439279 8
SS110201E; 038;AA;2;789582506803 7
1818230C1E; 039;AA;2;789000432412 6
FB108101E; 040;AA;2;789582506391 9
4142X098E; 041;AA;2;789582507592 9
905711110014E; 042;AA;2;260010040376 3
36866745; 043;AA;2;100020051113 8
50937298; 043;AA;2;789000232285 8
0826222E; 044;AA;2;789582501110 1
70490361RE; 045;AA;2;789582508717 5
70030NA; 045;AA;2;789000236366 0
70030AM; 045;AA;2;789000232286 5
50911090; 045;AA;2;720020050653 8
70490361; 045;AA;2;100020054005 3
 0180021; 046;AA;2;100620057005 2
0720798E; 047;AA;2;789582501021 0
70700026; 048;AA;2;100430051396 2
70490347; 049;AA;2;100020054039 8
50934198; 049;AA;2;720020010695 0
70343AG; 049;AA;2;730020051232 1
70490347RE; 049;AA;2;789582508575 1
70343NA; 049;AA;2;789000238296 8
2431A016E; 050;AA;2;789582501821 6
36833152E; 051;AA;2;789582502522 1
2314H002E; 052;AA;2;789582501761 5
70100564; 053;AA;2;100070052016 6
70740365E; 054;AA;2;789582504635 6
70590018E;055A;AA;2;789582507981 1
70420008; 056;AA;2;100340050772 7
70490397E; 057;AA;2;789582507895 1
70490316RE; 058;AA;2;789582508530 0
70342NA; 058;AA;2;789000238482 5
50926698; 058;AA;2;720020050146 5
70490359RE; 059;AA;2;789582507859 3
70490359; 059;AA;2;100020054043 5
50910390; 059;AA;2;720020050668 2
70439NA; 059;AA;2;789000238752 9
37733231E; 060;AA;2;789582502717 1
37733231P; 060;AA;2;789000838370 9
70590014E; 061;AA;2;789582507979 8
70490358E; 062;AA;2;789582507857 9
50909616; 062;AA;2;789000215524 1
